event,sector,region,trkID,c_layer,z_layer,x0,y0,z0,r,phi,theta,eta,c_x0,c_y0,c_z0,z_x0,z_y0,z_z0
2097,3,3,2,6,5,21.83742278,4.340438454,-3.366500139,22.26460059,0.1962043914,1.720863724,-0.1506338483,19.28170967,-11.13230038,-3.366500139,20.36616898,4.048009872,1.482499957
2098,3,1,1,1,2,14.75423861,0.55304993,-11.49470425,14.76460027,0.03746659789,2.23230886,-0.7158161511,12.78651905,-7.3822999,-11.49470425,16.25301361,0.6092302203,2.058000088
2098,3,2,1,4,3,19.24493182,0.8703141168,-14.57075787,19.26460089,0.04519223826,2.218348304,-0.6982184875,16.6836338,-9.632300377,-14.57075787,17.74646187,0.8025487661,2.378000021
2098,3,3,1,6,5,22.22582959,1.313369196,-16.59277725,22.26460059,0.05902338459,2.211252914,-0.6893458608,19.28170967,-11.13230038,-16.59277725,20.72841454,1.224883914,1.482499957
2098,1,1,2,1,2,-14.76287899,0.2254443367,-7.861499786,14.76460027,3.126322813,2.060070348,-0.5100513522,-12.78651905,-7.3822999,-7.861499786,-16.26265717,0.248347491,2.058000088
2098,1,2,2,4,3,-19.26296253,0.2512411019,-9.725625038,19.26460089,3.12855069,2.038311906,-0.4855405457,-16.6836338,-9.632300377,-9.725625038,-17.76299286,0.2316774428,2.378000021
2098,1,3,2,6,5,-22.26455294,0.04606238671,-10.97299957,22.26460059,3.13952379,2.02870366,-0.4748031588,-19.28170967,-11.13230038,-10.97299957,-20.76451492,0.04295900837,1.482499957
2098,3,1,3,1,2,9.771968307,-11.06806472,0.3932142854,14.76460027,-0.8475107911,1.544170387,0.02662908646,12.78651905,-7.3822999,0.3932142854,10.76472378,-12.19249344,2.058000088
2098,3,2,3,4,3,13.05108278,-14.17018298,1.017950058,19.26460089,-0.8264862735,1.51800498,0.05281588509,16.6836338,-9.632300377,1.017950058,12.03477097,-13.06672478,2.378000021
2098,3,3,3,6,5,15.82119962,-15.66531461,1.422166705,22.26460059,-0.7804473538,1.507007299,0.06383233208,19.28170967,-11.13230038,1.422166705,14.75521278,-14.60983086,1.482499957
2099,3,1,1,1,2,14.58423945,-2.30073485,13.71196461,14.76460027,-0.1564654128,0.8223463213,0.8300518162,12.78651905,-7.3822999,13.71196461,16.06573296,-2.53444767,2.058000088
2099,3,2,1,4,3,19.15938593,-2.010666133,18.36384773,19.26460089,-0.1045614505,0.8093316817,0.8479220345,16.6836338,-9.632300377,18.36384773,17.66730499,-1.854080915,2.378000021
2099,3,3,1,6,5,22.26286991,-0.2776022355,21.59593391,22.26460059,-0.01246864625,0.800642275,0.8599770068,19.28170967,-11.13230038,21.59593391,20.76293373,-0.2588990927,1.482499957
2099,3,1,2,1,2,10.12087741,-10.74994241,-7.694763184,14.76460027,-0.8155299269,2.051230633,-0.5000600206,12.78651905,-7.3822999,-7.694763184,11.14908028,-11.84205341,2.058000088
2099,3,2,2,4,3,13.43259408,-13.80906455,-9.906857491,19.26460089,-0.7992169442,2.045780336,-0.4939226366,16.6836338,-9.632300377,-9.906857491,12.38666248,-12.73381901,2.378000021
2099,3,3,2,6,5,15.89539003,-15.59002936,-11.40814209,22.26460059,-0.7756999887,2.044306144,-0.492265564,19.28170967,-11.13230038,-11.40814209,14.82444763,-14.53966045,1.482499957
2099,1,1,3,1,2,-11.76538657,-8.92015135,-0.6328499913,14.76460027,-2.492883853,1.613632763,-0.04284954284,-12.78651905,-7.3822999,-0.6328499913,-12.96064568,-9.826359749,2.058000088
2099,1,2,3,4,3,-15.27051812,-11.74462106,-0.7220000029,19.26460089,-2.485976491,1.608256861,-0.03746929889,-16.6836338,-9.632300377,-0.7220000029,-14.08141804,-10.83007908,2.378000021
2099,1,3,3,6,5,-17.42989811,-13.85319787,-0.7629736662,22.26460059,-2.470033489,1.605051386,-0.03426176058,-19.28170967,-11.13230038,-0.7629736662,-16.25558662,-12.91986084,1.482499957
2100,1,1,1,1,2,-11.4468973,-9.325339863,-6.289380074,14.76460027,-2.457975839,1.973494208,-0.4140449964,-12.78651905,-7.3822999,-6.289380074,-12.6096859,-10.27261829,2.058000088
2100,1,2,1,4,3,-14.53713572,-12.64106533,-7.710000038,19.26460089,-2.425846019,1.951488831,-0.3902357923,-16.6836338,-9.632300377,-7.710000038,-13.40510845,-11.65668774,2.378000021
2100,1,3,1,6,5,-16.00167187,-15.48092171,-8.699055672,22.26460059,-2.372733873,1.943270606,-0.3813982601,-19.28170967,-11.13230038,-8.699055672,-14.92355156,-14.43788719,1.482499957
2100,2,1,2,1,2,0.7241179601,14.74683222,4.805323601,14.7645998,1.521732446,1.256146167,0.3199744578,1.421085493e-15,14.7645998,4.805323601,0.7976824045,16.2449894,2.058000088
2100,2,2,2,4,3,0.8737308252,19.24477687,6.850243568,19.26460075,1.525426549,1.22915283,0.348490379,0,19.26460075,6.850243568,0.8056964874,17.74625397,2.378000021
2100,2,3,2,6,5,0.8106292975,22.24983881,8.162147522,22.26460075,1.534379393,1.219412482,0.3588463061,0,22.26460075,8.162147522,0.7560150027,20.75080681,1.482499957
2100,1,1,3,1,2,-9.27122667,-11.49076922,-5.147250175,14.76460027,-2.249694868,1.906242139,-0.3419197245,-12.78651905,-7.3822999,-5.147250175,-10.21304893,-12.65806484,2.058000088
2100,1,2,3,4,3,-11.9462785,-15.11328149,-6.144999981,19.26460089,-2.239686306,1.879572688,-0.3138032554,-16.6836338,-9.632300377,-6.144999981,-11.01608562,-13.93649101,2.378000021
2100,1,3,3,6,5,-13.61540612,-17.61627531,-6.813821316,22.26460059,-2.228785501,1.867783631,-0.3014518943,-19.28170967,-11.13230038,-6.813821316,-12.69802666,-16.4293251,1.482499957
2101,1,1,1,1,2,-14.07489039,4.459919469,-2.395359278,14.76460027,2.834730965,1.731631645,-0.1615332514,-12.78651905,-7.3822999,-2.395359278,-15.50469017,4.912981033,2.058000088
2101,1,2,1,4,3,-18.49579687,5.387981583,-2.061441898,19.26460089,2.858128725,1.677397413,-0.1068035603,-16.6836338,-9.632300377,-2.061441898,-17.05550003,4.968410969,2.378000021
2101,1,3,1,6,5,-21.6456553,5.213256769,-1.841821432,22.26460059,2.905248458,1.653332603,-0.08263014553,-19.28170967,-11.13230038,-1.841821432,-20.1872406,4.86200428,1.482499957
2101,2,1,2,1,2,-8.685296473,11.93980873,4.694499969,14.7645998,2.199691166,1.262948194,0.3128290922,1.421085493e-15,14.7645998,4.694499969,-9.56761837,13.15275002,2.058000088
2101,2,2,2,4,3,-11.56159198,15.40955655,7.234000206,19.26460075,2.214481175,1.211580884,0.3671996612,0,19.26460075,7.234000206,-10.66135406,14.20969868,2.378000021
2101,2,3,2,6,5,-13.87814251,17.41004328,8.931666374,22.26460075,2.243787441,1.189290383,0.3911121012,0,22.26460075,8.931666374,-12.94307518,16.23700714,1.482499957
2101,2,1,3,1,2,-6.913451962,13.04597981,-0.9954375029,14.7645998,2.058100009,1.638115005,-0.06736958148,1.421085493e-15,14.7645998,-0.9954375029,-7.615805626,14.37135124,2.058000088
2101,2,2,3,4,3,-9.246042765,16.90075547,-0.232695654,19.26460075,2.071393905,1.582874664,-0.01207863059,0,19.26460075,-0.232695654,-8.526096344,15.58477211,2.378000021
2101,2,3,3,6,5,-10.91613889,19.40490552,0.2470000088,22.26460075,2.083220218,1.559702938,0.01109361651,0,22.26460075,0.2470000088,-10.1806736,18.09751701,1.482499957
2102,3,1,-1,1,2,12.29945793,-8.168032993,10.09033775,14.76460051,-0.5862214863,0.9712887132,0.6390260269,12.78651905,-7.382300377,10.09033775,13.54895306,-8.997818947,2.058000088
2102,3,2,-1,4,3,16.07274766,-10.6203404,18.07011032,19.26460089,-0.5839070529,0.8173813558,0.836843362,16.6836338,-9.632300377,18.07011032,14.82117939,-9.793345451,2.377999783
