event,sector,region,trkID,x0,y0,z0,r,phi,theta,eta,err_x0,err_y0,err_z0
1,18,3,-1,2.556806564,-11.87379837,-14.01053524,12.14596013,-1.358703033,2.427359466,-0.9858699711,0.008111570962,0.00295236893,0.2635862529
1,18,3,-1,2.30513525,-11.96539879,-10.95767689,12.1854182,-1.380477865,2.303194168,-0.8083056737,0.007121118251,0.002591860015,0.256644398
1,18,3,-1,2.547531128,-11.87717438,-16.3722496,12.14731189,-1.359508007,2.503266584,-1.107267287,0.007887837477,0.002870922675,0.248366043
2,3,1,3,-5.803941727,-3.264621019,-1.132973909,6.659090776,-2.629215785,1.739321995,-0.1693290923,0.003097542096,0.00953325443,0.4200476706
2,4,3,3,-10.39357281,-6.062204361,1.177034259,12.03231804,-2.613569398,1.473283844,0.09766738737,0.003953885753,0.00684833061,0.374622643
2,10,1,1,3.45239377,-5.56160593,-3.361209154,6.546028053,-1.015255541,2.045164209,-0.4932299235,0.006807337515,0.004945820663,0.4015050828
2,13,2,2,7.694972992,-5.248727322,3.886626482,9.314598641,-0.5986100318,1.175498192,0.4060144323,0.005586600862,0.007005376276,0.4291444421
2,14,2,1,5.197932243,-7.806487083,-6.116754532,9.378685419,-0.9833608458,2.148714763,-0.6130658102,0.008194717579,0.003946368117,0.3482550383
2,16,3,2,10.10571671,-6.560784817,6.507395267,12.04862679,-0.5758233127,1.075590016,0.5167828421,0.00437942706,0.007585390005,0.4181855321
2,17,3,1,6.979002953,-9.850842476,-5.561100483,12.0725134,-0.9544099722,2.00246439,-0.44573447,0.006274667569,0.005265071057,0.3229700327
3,1,1,-1,0.4122579396,-6.528700352,2.98902297,6.541703516,-1.507734571,1.142204193,0.442350278,0.008900905028,0,0.455455333
3,1,1,1,0.6052986383,-6.528700352,-9.736361504,6.556699987,-1.478347117,2.548926441,-1.186385017,0.007995033637,0,0.3507593572
3,1,1,2,0.1071413979,-6.528700352,-10.21716595,6.529579432,-1.554386969,2.572932888,-1.230152148,0.007619848009,0,0.347073853
3,1,1,-1,0.3114374876,-6.528700352,-20.06675529,6.536124356,-1.52312963,2.826710541,-1.84039345,0.00686559407,0,0.2758041322
3,1,2,-1,1.108395219,-9.288700104,5.249259472,9.354597243,-1.452030634,1.059438894,0.5352204258,0.009814736433,0,0.4408148229
3,1,2,1,1.252273321,-9.288700104,-11.45849228,9.372733757,-1.436787472,2.455988425,-1.030319944,0.008475895971,0,0.308519274
3,1,2,2,0.573268652,-9.288700104,-12.41409397,9.306373438,-1.509157728,2.498307955,-1.098973025,0.007382338401,0,0.3016726077
3,1,3,2,1.28701067,-12.03219986,-14.50206184,12.10083592,-1.464237613,2.446212373,-1.014970677,0.007848296314,0,0.2603282034
3,10,1,-1,4.731365204,-4.632379055,-10.19275856,6.621537012,-0.7748273427,2.565476529,-1.216385723,0.007042484824,0.005116660614,0.3472518325
3,13,2,-1,6.887002468,-6.261890411,-9.697875023,9.308172459,-0.7378928904,2.376695753,-0.9106701584,0.004769068677,0.005980223417,0.3213591576
4,5,1,2,-3.3949368,5.603351116,-4.093297005,6.551575353,2.115525327,2.129237837,-0.5899576031,0.006814637687,0.004951124545,0.3955034316
4,6,1,1,0.9850691557,6.528700352,-8.706792831,6.60259718,1.421043032,2.492783451,-1.089796584,0.008631015196,0,0.3587193489
4,7,2,2,-5.001835346,7.900922298,-3.651266575,9.351092449,2.135177613,1.94305523,-0.381167038,0.00802211836,0.003863248508,0.3674115837
4,7,2,-1,-4.951490402,7.925167084,-5.351499081,9.344813027,2.129237834,2.09087819,-0.5452492727,0.007785313297,0.003749208758,0.3541494608
4,8,1,-1,5.964983463,2.768987417,-12.4967947,6.576345416,0.4346055044,2.657172059,-1.398121475,0.002466239035,0.007590299007,0.3298469484
4,8,3,2,-6.620675087,10.15151596,0.03985673189,12.11967883,2.14870664,1.567507742,0.00328859045,0.00740806479,0.006216104142,0.365627259
4,10,3,1,1.568928719,12.03219986,-9.592551231,12.1340583,1.441133723,2.239747005,-0.7252701802,0.008915954269,0,0.293884635
4,13,3,-1,10.78876019,5.377719879,-12.87482357,12.05475912,0.4624114705,2.389077866,-0.9286682373,0.003586712293,0.006212368608,0.2712451518
5,1,1,1,0.2386924475,-6.528700352,-9.79027462,6.53306225,-1.534252119,2.553150869,-1.193971733,0.007699394133,0,0.3503471911
5,1,2,1,0.8613110781,-9.288700104,-11.28322506,9.328547925,-1.478333965,2.450744769,-1.022064365,0.007833007723,0,0.3097886741
5,1,3,1,1.808351755,-12.03219986,-12.66131496,12.16733206,-1.421620136,2.376087549,-0.909792117,0.009112906642,0,0.2726502717
5,8,1,3,6.618414402,0.7579312921,-2.870592117,6.66167164,0.1140218456,1.977663546,-0.4185808931,0.003052829765,0.009395644069,0.40554896
5,9,1,2,6.592350006,-0.8381503224,-9.766165733,6.645417561,-0.1264613557,2.544106241,-1.177786254,0.002784021664,0.008568337187,0.3505221307
5,11,2,3,9.18473053,1.502104998,-2.969846487,9.306749934,0.1621086045,1.879688761,-0.3139250926,0.001827560714,0.008007067256,0.3727994859
5,12,2,2,9.274620056,-1.108274698,-9.550978661,9.340602229,-0.1189314876,2.367330019,-0.8972102701,0.001820264617,0.007975099608,0.3224354088
5,14,3,3,11.78322887,2.464668989,-2.567394972,12.03823392,0.2061947611,1.780918402,-0.2116855568,0.001342114178,0.007611508016,0.3454509676
